fec_id,state,district,incumbent,candidate_name,party,primary_votes,runoff_votes,general_votes,ge_winner
H0OR05062,OR,05,FALSE,"Lugo, Christina Jean",P,0,0,7516,N
H0PA03271,PA,03,TRUE,"Kelly, Mike",R,46382,0,165826,W
H0PA04220,PA,12,FALSE,"Rothfus, Keith J.",R,44360,0,175352,W
H0PA06084,PA,06,FALSE,"Trivedi, Manan M.",D,20037,0,143803,N
H0PA07082,PA,07,TRUE,"Meehan, Patrick L.",R,55387,0,209942,W
H0PA10078,PA,10,TRUE,"Marino, Thomas A.",R,51373,0,179563,W
H0PA12132,PA,12,TRUE,"Critz, Mark S.",D,32384,0,163589,N
H0PA19095,PA,04,FALSE,"Reilly, Christopher B.",R,12143,0,0,N
H0RI01073,RI,01,TRUE,"Cicilline, David N.",D,30203,0,108612,W
H0RI01107,RI,01,FALSE,"Gemma, Anthony P.",D,14702,0,0,N
H0RI01115,RI,02,FALSE,"Russo, Kara D.",R,1488,0,0,N
H0RI02139,RI,02,TRUE,"Langevin, James R.",D,22161,0,124067,W
H0RI02212,RI,02,FALSE,"Gardiner, Michael J.",R,825,0,0,N
H0RI02246,RI,02,FALSE,"Robbio, Donald F.",R,454,0,0,N
H0SC01204,SC,07,FALSE,"Withington, Dick",R,641,0,0,N
H0SC01279,SC,01,TRUE,"Scott, Tim",R,0,0,179908,W
H0SC01352,SC,01,FALSE,"Blandford, Keith",L,0,0,6334,N
H0SC03077,SC,03,TRUE,"Duncan, Jeff",R,0,0,169512,W
H0SC04257,SC,04,TRUE,"Gowdy, Trey",R,0,0,173201,W
H0SC05031,SC,05,TRUE,"Mulvaney, Mick",R,0,0,154324,W
H0SC06211,SC,06,FALSE,"Muhammad, Nammu Y.",G,0,0,12920,N
H0SD00054,SD,00,TRUE,"Noem, Kristi",R,0,0,207640,W
H0TN03254,TN,03,TRUE,"Fleischmann, Chuck",R,29947,0,157830,W
H0TN04195,TN,04,TRUE,"DesJarlais, Scott",R,36088,0,128568,W
H0TN05150,TN,05,FALSE,"Ries, Bob",R,5422,0,0,N
H0TN05242,TN,05,FALSE,"Tarum, Tracy C.",R,2212,0,0,N
H0TN06224,TN,06,FALSE,"Zelenik, Lou Ann",R,19836,0,0,N
H0TN06257,TN,06,TRUE,"Black, Diane",R,44949,0,184383,W
H0TN08246,TN,08,TRUE,"Fincher, Stephen Lee",R,60355,0,190923,W
